2020-06-29T21:20:24.043Z, 1593465624043, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:24.202Z, 1593465624202, ea:39:da:f1:99:98, pr-3fe7, -45
2020-06-29T21:20:24.355Z, 1593465624355, ea:39:da:f1:99:98, pr-3fe7, -46
2020-06-29T21:20:24.515Z, 1593465624515, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:24.672Z, 1593465624672, ea:39:da:f1:99:98, pr-3fe7, -42
2020-06-29T21:20:24.823Z, 1593465624823, ea:39:da:f1:99:98, pr-3fe7, -42
2020-06-29T21:20:25.077Z, 1593465625077, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:25.234Z, 1593465625234, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:25.327Z, 1593465625327, ea:39:da:f1:99:98, pr-3fe7, -48
2020-06-29T21:20:25.446Z, 1593465625446, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:25.603Z, 1593465625603, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:25.767Z, 1593465625767, ea:39:da:f1:99:98, pr-3fe7, -45
2020-06-29T21:20:25.930Z, 1593465625930, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:26.083Z, 1593465626083, ea:39:da:f1:99:98, pr-3fe7, -45
2020-06-29T21:20:26.243Z, 1593465626243, ea:39:da:f1:99:98, pr-3fe7, -44
2020-06-29T21:20:26.566Z, 1593465626566, ea:39:da:f1:99:98, pr-3fe7, -42
2020-06-29T21:20:26.713Z, 1593465626713, ea:39:da:f1:99:98, pr-3fe7, -42
2020-06-29T21:20:26.854Z, 1593465626854, ea:39:da:f1:99:98, pr-3fe7, -38
2020-06-29T21:20:27.030Z, 1593465627030, ea:39:da:f1:99:98, pr-3fe7, -35
2020-06-29T21:20:27.182Z, 1593465627182, ea:39:da:f1:99:98, pr-3fe7, -36
2020-06-29T21:20:27.339Z, 1593465627339, ea:39:da:f1:99:98, pr-3fe7, -35
2020-06-29T21:20:27.493Z, 1593465627493, ea:39:da:f1:99:98, pr-3fe7, -32
2020-06-29T21:20:27.653Z, 1593465627653, ea:39:da:f1:99:98, pr-3fe7, -32
2020-06-29T21:20:27.967Z, 1593465627967, ea:39:da:f1:99:98, pr-3fe7, -32
2020-06-29T21:20:28.127Z, 1593465628127, ea:39:da:f1:99:98, pr-3fe7, -31
2020-06-29T21:20:28.287Z, 1593465628287, ea:39:da:f1:99:98, pr-3fe7, -31
2020-06-29T21:20:28.441Z, 1593465628441, ea:39:da:f1:99:98, pr-3fe7, -32
2020-06-29T21:20:28.636Z, 1593465628636, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:28.783Z, 1593465628783, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:28.928Z, 1593465628928, ea:39:da:f1:99:98, pr-3fe7, -30
2020-06-29T21:20:29.087Z, 1593465629087, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:29.233Z, 1593465629233, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:29.393Z, 1593465629393, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:29.706Z, 1593465629706, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:29.871Z, 1593465629871, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:30.023Z, 1593465630023, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:30.332Z, 1593465630332, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:30.500Z, 1593465630500, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:30.650Z, 1593465630650, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:30.976Z, 1593465630976, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:31.114Z, 1593465631114, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:31.276Z, 1593465631276, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:31.436Z, 1593465631436, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:31.597Z, 1593465631597, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:31.753Z, 1593465631753, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:31.916Z, 1593465631916, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:32.073Z, 1593465632073, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:32.226Z, 1593465632226, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:32.379Z, 1593465632379, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:32.545Z, 1593465632545, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:32.700Z, 1593465632700, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:32.861Z, 1593465632861, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:33.014Z, 1593465633014, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:33.167Z, 1593465633167, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:33.321Z, 1593465633321, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:33.476Z, 1593465633476, ea:39:da:f1:99:98, pr-3fe7, -28
2020-06-29T21:20:33.640Z, 1593465633640, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:33.817Z, 1593465633817, ea:39:da:f1:99:98, pr-3fe7, -27
2020-06-29T21:20:33.982Z, 1593465633982, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:34.117Z, 1593465634117, ea:39:da:f1:99:98, pr-3fe7, -26
2020-06-29T21:20:34.264Z, 1593465634264, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:34.421Z, 1593465634421, ea:39:da:f1:99:98, pr-3fe7, -29
2020-06-29T21:20:34.571Z, 1593465634571, ea:39:da:f1:99:98, pr-3fe7, -32
2020-06-29T21:20:34.733Z, 1593465634733, ea:39:da:f1:99:98, pr-3fe7, -34
2020-06-29T21:20:34.887Z, 1593465634887, ea:39:da:f1:99:98, pr-3fe7, -36
2020-06-29T21:20:35.078Z, 1593465635078, ea:39:da:f1:99:98, pr-3fe7, -39
2020-06-29T21:20:35.205Z, 1593465635205, ea:39:da:f1:99:98, pr-3fe7, -40
2020-06-29T21:20:35.357Z, 1593465635357, ea:39:da:f1:99:98, pr-3fe7, -44
2020-06-29T21:20:35.671Z, 1593465635671, ea:39:da:f1:99:98, pr-3fe7, -46
2020-06-29T21:20:35.823Z, 1593465635823, ea:39:da:f1:99:98, pr-3fe7, -46
2020-06-29T21:20:35.983Z, 1593465635983, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:36.144Z, 1593465636144, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:36.311Z, 1593465636311, ea:39:da:f1:99:98, pr-3fe7, -50
2020-06-29T21:20:36.457Z, 1593465636457, ea:39:da:f1:99:98, pr-3fe7, -48
2020-06-29T21:20:36.937Z, 1593465636937, ea:39:da:f1:99:98, pr-3fe7, -49
2020-06-29T21:20:37.093Z, 1593465637093, ea:39:da:f1:99:98, pr-3fe7, -48
2020-06-29T21:20:37.254Z, 1593465637254, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:37.412Z, 1593465637412, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:37.588Z, 1593465637588, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:37.747Z, 1593465637747, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:37.877Z, 1593465637877, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:38.039Z, 1593465638039, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:38.204Z, 1593465638204, ea:39:da:f1:99:98, pr-3fe7, -49
2020-06-29T21:20:38.352Z, 1593465638352, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:38.507Z, 1593465638507, ea:39:da:f1:99:98, pr-3fe7, -53
2020-06-29T21:20:38.668Z, 1593465638668, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:38.962Z, 1593465638962, ea:39:da:f1:99:98, pr-3fe7, -53
2020-06-29T21:20:39.127Z, 1593465639127, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:39.296Z, 1593465639296, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:39.595Z, 1593465639595, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:39.756Z, 1593465639756, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:39.910Z, 1593465639910, ea:39:da:f1:99:98, pr-3fe7, -52
