2020-06-29T20:42:58.187Z, 1593463378187, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:58.350Z, 1593463378350, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:58.500Z, 1593463378500, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:42:58.657Z, 1593463378657, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:58.799Z, 1593463378799, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:58.952Z, 1593463378952, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:59.108Z, 1593463379108, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:59.271Z, 1593463379271, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:42:59.425Z, 1593463379425, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:59.581Z, 1593463379581, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:59.736Z, 1593463379736, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:00.045Z, 1593463380045, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:43:00.216Z, 1593463380216, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:00.362Z, 1593463380362, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:00.513Z, 1593463380513, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:00.671Z, 1593463380671, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:43:00.835Z, 1593463380835, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:43:01.301Z, 1593463381301, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:01.464Z, 1593463381464, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:01.650Z, 1593463381650, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:02.264Z, 1593463382264, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:02.424Z, 1593463382424, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:02.566Z, 1593463382566, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:03.031Z, 1593463383031, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:43:03.499Z, 1593463383499, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:03.986Z, 1593463383986, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:04.137Z, 1593463384137, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:05.256Z, 1593463385256, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:05.579Z, 1593463385579, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:43:05.888Z, 1593463385888, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:06.035Z, 1593463386035, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:06.191Z, 1593463386191, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:43:06.832Z, 1593463386832, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:06.996Z, 1593463386996, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:07.150Z, 1593463387150, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:43:07.463Z, 1593463387463, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:07.630Z, 1593463387630, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T20:43:07.781Z, 1593463387781, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:43:07.941Z, 1593463387941, ea:39:da:f1:99:98, pr-3fe7, -87
2020-06-29T20:43:08.098Z, 1593463388098, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:43:08.264Z, 1593463388264, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:43:08.723Z, 1593463388723, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:08.893Z, 1593463388893, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:43:09.049Z, 1593463389049, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:43:09.200Z, 1593463389200, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:43:09.350Z, 1593463389350, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:43:09.511Z, 1593463389511, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:09.671Z, 1593463389671, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:09.993Z, 1593463389993, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:10.217Z, 1593463390217, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:10.317Z, 1593463390317, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:43:10.761Z, 1593463390761, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:43:10.918Z, 1593463390918, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T20:43:11.543Z, 1593463391543, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:43:11.874Z, 1593463391874, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:48:32.785Z, 1593463712785, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:32.908Z, 1593463712908, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:33.208Z, 1593463713208, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:33.362Z, 1593463713362, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:33.556Z, 1593463713556, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:33.702Z, 1593463713702, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:33.998Z, 1593463713998, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:34.151Z, 1593463714151, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:34.302Z, 1593463714302, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:34.456Z, 1593463714456, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:34.613Z, 1593463714613, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:34.928Z, 1593463714928, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:35.549Z, 1593463715549, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:36.024Z, 1593463716024, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:36.188Z, 1593463716188, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:36.344Z, 1593463716344, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:36.503Z, 1593463716503, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:48:36.972Z, 1593463716972, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:37.283Z, 1593463717283, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:37.599Z, 1593463717599, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:37.769Z, 1593463717769, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:37.928Z, 1593463717928, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:38.100Z, 1593463718100, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:38.240Z, 1593463718240, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:38.715Z, 1593463718715, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:38.869Z, 1593463718869, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:39.496Z, 1593463719496, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:39.675Z, 1593463719675, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:39.960Z, 1593463719960, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:40.117Z, 1593463720117, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:40.436Z, 1593463720436, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:40.911Z, 1593463720911, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:41.064Z, 1593463721064, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:48:41.846Z, 1593463721846, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:48:42.161Z, 1593463722161, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:42.331Z, 1593463722331, ea:39:da:f1:99:98, pr-3fe7, -80
