2020-06-29T20:41:10.935Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:11.096Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:41:11.304Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:41:11.542Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:41:11.688Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:11.895Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:41:12.414Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:12.921Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:13.098Z, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:41:13.409Z, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:41:13.558Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:13.716Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:14.369Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:41:14.971Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:41:15.206Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:41:15.305Z, ea:39:da:f1:99:98, pr-3fe7, -85
