2020-06-29T19:49:24.490Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:49:24.654Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:24.806Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:25.121Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:25.455Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:25.613Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:25.767Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:25.922Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:26.237Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:27.027Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:27.500Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:27.862Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:28.007Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:28.129Z, f0:eb:32:89:9a:aa, pr-3fe7, -75
2020-06-29T19:49:28.287Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:29.239Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:29.548Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:29.889Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:30.026Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:30.820Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:31.112Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:31.430Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:31.593Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:32.314Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:32.414Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:32.513Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:32.839Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:33.785Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:33.950Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:34.100Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:34.725Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:34.876Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:35.507Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:35.972Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:36.142Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:36.297Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:36.605Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:36.765Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
